كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061001,خواهران,شنبه از 13:15 تا 15:00,سمیه امیری,,45,,1404/03/21 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-5,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923,آیین زندگی (اخلاق کاربردی),نظري,2,0,1639892306,خواهران,يكشنبه از 09:15 تا 11:00,علی نیکویی,,45,,1404/03/28 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-7,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98923,آیین زندگی (اخلاق کاربردی),نظري,2,0,1639892304,برادران,شنبه از 09:15 تا 11:00,علی نیکویی,,45,,1404/03/28 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-7,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90613,انسان در اسلام,نظري,2,0,1639061303,برادران,يكشنبه از 09:15 تا 11:00,اسداله مصطفی پور,,45,,1404/03/25 از 17:00 تا 18:30,دانشکده مهندسی یک-319,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90613,انسان در اسلام,نظري,2,0,1639061304,برادران,يكشنبه از 07:30 تا 09:15,اسداله مصطفی پور,,45,,1404/03/25 از 17:00 تا 18:30,دانشکده مهندسی یک-319,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90613,انسان در اسلام,نظري,2,0,1639061301,خواهران, چهارشنبه از 11:00 تا 11:45 چهارشنبه از از 12:15 تا 13:15 ,خسرو مرادی کهواده,,45,,1404/03/25 از 17:00 تا 18:30,دانشکده علوم انسانی-105,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90613,انسان در اسلام,نظري,2,0,1639016302,برادران,چهارشنبه از 09:15 تا 11:00,خسرو مرادی کهواده,,45,,1404/03/25 از 17:00 تا 18:30,دانشکده علوم انسانی-105,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90613,انسان در اسلام,نظري,2,0,1639061300,خواهران,چهارشنبه از 07:30 تا 09:15,خسرو مرادی کهواده,,45,,1404/03/25 از 17:00 تا 18:30,دانشکده علوم انسانی-105,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99083,انس با قرآن کریم,نظري,1,0,163811001,,شنبه از 07:30 تا 09:15,زهرا معینی,,35,,1404/03/18 از 17:00 تا 18:00,دانشکده علوم انسانی-317,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012806,خواهران - ویژه دانشجویان علوم تربیتی,چهارشنبه از 09:15 تا 11:00,سیده فاطمه موسوی,,0,,1404/03/24 از 17:00 تا 18:30,دانشکده علوم انسانی-9,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012805,خواهران, سه شنبه از 11:00 تا 11:45 سه شنبه از از 12:15 تا 13:15    ,سیده فاطمه موسوی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-6,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012804,خواهران,سه شنبه از 09:15 تا 11:00,سیده فاطمه موسوی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-6,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012803,خواهران,سه شنبه از 07:30 تا 09:15,سیده فاطمه موسوی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده اقتصاد ومدیریت-6,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012802,برادران,پنج شنبه از 16:45 تا 18:30,سید خداکرم فلاحی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012801,برادران,پنج شنبه از 15:00 تا 16:45,سید خداکرم فلاحی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128,دانش خانواده و جمعیت,نظري,2,0,1639012800,برادران,پنج شنبه از 13:15 تا 15:00,سید خداکرم فلاحی,,45,,1404/03/24 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076340,خواهران, پنج شنبه از 11:00 تا 11:45 پنج شنبه از از 12:15 تا 13:15,سید خداکرم فلاحی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076339,خواهران,پنج شنبه از 09:15 تا 11:00,سید خداکرم فلاحی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076338,برادران,پنج شنبه از 07:30 تا 09:15,سید خداکرم فلاحی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-8,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076333,خواهران -ویژه دانشجویان علوم تربیتی,چهارشنبه از 07:30 تا 09:15,سیده فاطمه موسوی,,0,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-9,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076332,خواهران, يكشنبه از 11:00 تا 11:45 يكشنبه از از 12:15 تا 13:15 ,سیده فاطمه موسوی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-9,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076331,خواهران,يكشنبه از 09:15 تا 11:00,سیده فاطمه موسوی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-9,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076330,خواهران,يكشنبه از 07:30 تا 09:15,سیده فاطمه موسوی,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-9,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763,تفسیر موضوعی قرآن,نظري,2,0,1639076329,برادران,دوشنبه از 09:15 تا 11:00,محمدعلی کوثری,,45,,1404/03/23 از 17:00 تا 18:30,دانشکده علوم انسانی-105,كارشناسي پيوسته,آموزش الکترونیکی,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
