,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,1,1546156275,کارآفرینی,نظري_عملي,1,1,16301111130039,,,سید محمد حجی خراسانی.,,25,,1404/05/25 از 10:30 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,2,5990156275,کارآفرینی,نظري_عملي,1,1,16301111130038,,,سید محمد حجی خراسانی.,,30,,1404/05/25 از 10:30 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,3,6344156275,کارآفرینی,كارگاهي,1,1,16301111130037,,,سید محمد حجی خراسانی.,,30,,1404/05/25 از 10:30 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي معماري(7116315),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,4,5865156275,کارآفرینی,كارگاهي,1,1,16301111130036,,,سید محمد حجی خراسانی.,,20,,1404/05/25 از 10:30 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي نساجي(7116335),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,5,7000005755,کارآفرینی,نظري,2,0,16301111130035,,,سید محمد حجی خراسانی.,,25,,1404/05/25 از 10:30 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,6,1068156275,کارآفرینی,نظري,3,0,16301111130034,,,,,25,,1404/05/25 از 10:30 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,7,55139,کارآفرینی,نظري,3,0,16301111130033,,,,,15,,1404/05/25 از 10:30 تا 12:00,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,8,5889156275,کارآفرینی,كارگاهي,1,1,16301111130032,,,,,15,,1404/05/25 از 10:30 تا 12:00,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,9,1068156275,کارآفرینی,نظري,3,0,16301111130031,,شنبه از 12:30 تا 19:00,دکتر احمدعلی ثابتان شیرازی,,15,,1404/05/25 از 10:30 تا 12:00,دانشکده مهارتی -201,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي صنايع(7116338),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,10,92381,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238102,برادران,چهارشنبه از 12:30 تا 17:30,رضا معینی رودبالی,,40,,1404/05/30 از 14:30 تا 15:30,دانشکده علوم انسانی-114,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,11,92381,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238101,خواهران,چهارشنبه از 07:15 تا 12:15,رضا معینی رودبالی,,40,,1404/05/30 از 14:30 تا 15:30,دانشکده علوم انسانی-114,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,12,4628150474,معماری‌ کامپیوتر,نظري,3,0,163543328,,شنبه از 07:30 تا 15:30,علي نامدار,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,13,4628147685,مدار‌های الکتریکی,نظري,3,0,163543327,,شنبه از 15:00 تا 19:00 يكشنبه از 15:00 ...,گوهر ورامینی,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,14,4628164617,طراحی کامپیوتری سیستمهای دیجیتال,نظري,3,0,163543326,,چهارشنبه از 14:00 تا 18:00 پنج شنبه از ...,مرجان افشار,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,15,4628127605,روش پژوهش و ارایه,نظري,2,0,163543327,استاد درس : دکتر پیچاقیان,دوشنبه از 14:00 تا 18:30,امین اسکندری,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,16,4628135313,سیگنال ها و سیستم ها,نظري,3,0,163543326,,شنبه از 07:30 تا 15:00,زهرا مقصود زاده,,55,,1404/06/01 از 08:00 تا 10:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,17,4628107851,آمار و احتمال مهندسی,نظري,3,0,163543325,,,,,55,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,18,4628129896,ریاضیات مهندسی,نظري,3,0,163543324,,,,,55,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,19,7000031531,فیزیک 1,نظري,3,0,16301111130023,,,,,40,,1404/05/25 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي فيزيک(7116358),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,20,90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061002,برادران,يكشنبه از 12:30 تا 17:30,دکتر مرتضی کشاورز,,0,,1404/05/27 از 14:30 تا 15:30,دانشکده علوم انسانی-110,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,21,90610,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061001,خواهران,شنبه از 12:30 تا 17:30,دکتر مرتضی کشاورز,,0,,1404/05/27 از 14:30 تا 15:30,دانشکده علوم انسانی-210,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,22,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,16305,خواهران,,مریم خیرده,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,23,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,16304,برادران,,مریم خیرده,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,24,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,16303,خواهران,,مریم خیرده,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,25,6425156372,کارآموزی,كارآموزي,0,2,16302,خواهران,,مریم خیرده,,20,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,26,6425156372,کارآموزی,كارآموزي,0,2,16301,خواهران,,سيدابوالقاسم صدري,,20,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي تربيت بدني (علوم ورزشي)(7116343),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,27,99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904107,برادران,پنج شنبه از 12:30 تا 17:30,مسعود مرادی,,45,,1404/05/29 از 14:30 تا 15:30,دانشکده علوم انسانی-103,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,28,99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639044106,خواهران,پنج شنبه از 07:15 تا 12:15,مسعود مرادی,,35,,1404/05/29 از 14:30 تا 15:30,دانشکده علوم انسانی-103,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,29,99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904105,خواهران,چهارشنبه از 12:30 تا 17:30,مسعود مرادی,,45,,1404/05/29 از 14:30 تا 15:30,دانشکده علوم انسانی-103,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,30,7000025438,کارآموزی,كارآموزي,0,2,17061593,,,حیدر ایزد نشان,,10,,,,كارشناسي پيوسته,حضوري,ارائه در سطح استان,,گروه آموزشي مهندسي فوتونيک و اپتيک(7119883),198 - مرودشت(198),198 - مرودشت(71198),71 - فارس(71)
,31,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,888801,,,امیر محسنی آهویی,,50,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,32,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,888800,,,امیر محسنی آهویی,,50,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,33,6138114704,پروژه,عملي,0,3,888817,,,علی حسینی,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,34,6138114704,پروژه,عملي,0,3,888816,,,زهراسادات عصایی معمم,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,35,6138114704,پروژه,عملي,0,3,888814,,,سید سجاد موید,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,36,6138114704,پروژه,عملي,0,3,888813,,,سمیه حق طلبی,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,37,6138156372,کارآموزی,كارآموزي,0,2,888806,,,زهراسادات عصایی معمم,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,38,6138156372,کارآموزی,كارآموزي,0,2,888805,,,فهیمه تجرد,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,39,6138156372,کارآموزی,كارآموزي,0,2,888803,,,سمیه حق طلبی,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,40,6138156372,کارآموزی,كارآموزي,0,2,888801,,,علی حیدر زادگان,,5,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,41,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,777701,,,امیر محسنی آهویی,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,42,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,777700,,,امیر محسنی آهویی,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,43,5990114704,پروژه,عملي,0,2,777716,,,زهراسادات عصایی معمم,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,44,5990114704,پروژه,عملي,0,2,777715,,,فهیمه تجرد,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,45,5990114704,پروژه,عملي,0,2,777713,,,سمیه حق طلبی,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,46,5990114704,پروژه,عملي,0,2,777711,,,علی حیدر زادگان,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,47,5990156372,کارآموزی,كارآموزي,0,2,777708,,,علی حسینی,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,48,5990156372,کارآموزی,كارآموزي,0,2,777706,,,زهراسادات عصایی معمم,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,49,5990156372,کارآموزی,كارآموزي,0,2,777705,,,فهیمه تجرد,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,50,5990156372,کارآموزی,كارآموزي,0,2,777704,,,سید سجاد موید,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,51,5990156372,کارآموزی,كارآموزي,0,2,777703,,,سمیه حق طلبی,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,52,5990156372,کارآموزی,كارآموزي,0,2,777702,,,محبوبه اقتصاد,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,53,5990156372,کارآموزی,كارآموزي,0,2,777701,,,علی حیدر زادگان,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,54,7000009806,پروژه,عملي,0,3,17061592,,,حیدر ایزد نشان,,10,,,,كارشناسي پيوسته,حضوري,ارائه در سطح استان,,گروه آموزشي مهندسي فوتونيک و اپتيک(7119883),198 - مرودشت(198),198 - مرودشت(71198),71 - فارس(71)
,55,7000009595,ایمنی لیزر,نظري,1,0,17061591,,دوشنبه از 16:00 تا 19:00,حیدر ایزد نشان,,10,,,,كارشناسي پيوسته,حضوري,ارائه در سطح استان,,گروه آموزشي مهندسي فوتونيک و اپتيک(7119883),198 - مرودشت(198),198 - مرودشت(71198),71 - فارس(71)
,56,100002,کارآموزی طرح پویش (3) کاردانی و کارشناسی,طرح پویش,0,2,1639907356,,,الهام خوشاب,,50,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
